Výrobný príkaz | Dátum a čas
_______________|______________

VP331045       | 2021-04-23 07:52:20
VP336201       | 2021-04-23 07:52:21
VP335709VP336807       | 2021-04-23 07:52:22
VP333134       | 2021-04-23 07:52:23
VP336605       | 2021-04-23 07:52:24
VP333310       | 2021-04-23 07:52:25
VP335447       | 2021-04-23 07:52:26
VP5136519       | 2021-04-23 07:52:28
VP331045       | 2021-04-23 07:53:46
VP336201       | 2021-04-23 07:53:47
VP331045       | 2021-04-23 07:55:39
VP336201       | 2021-04-23 07:55:40
VP335709VP336807       | 2021-04-23 07:55:41
VP333134       | 2021-04-23 07:55:42
VP336605       | 2021-04-23 07:55:44
VP333310       | 2021-04-23 07:55:45
VP335447       | 2021-04-23 07:55:46
VP5136519       | 2021-04-23 07:55:47
VP331045       | 2021-04-23 07:56:04
VP336201       | 2021-04-23 07:56:06
VP335709VP336807       | 2021-04-23 07:56:07
VP333134       | 2021-04-23 07:56:08
VP336605       | 2021-04-23 07:56:09
VP333310       | 2021-04-23 07:56:10
VP335447       | 2021-04-23 07:56:11
VP5136519       | 2021-04-23 07:56:12
VP331045       | 2021-04-23 07:56:41
VP336201       | 2021-04-23 07:56:42
VP335709VP336807       | 2021-04-23 07:56:43
VP333134       | 2021-04-23 07:56:45
VP331045       | 2021-04-23 07:56:45
VP336605       | 2021-04-23 07:56:46
VP336201       | 2021-04-23 07:56:46
VP333310       | 2021-04-23 07:56:47
VP335709VP336807       | 2021-04-23 07:56:47
VP335447       | 2021-04-23 07:56:48
VP333134       | 2021-04-23 07:56:48
VP5136519       | 2021-04-23 07:56:49
VP336605       | 2021-04-23 07:56:50
VP333310       | 2021-04-23 07:56:51
VP331045       | 2021-04-23 07:56:51
VP335447       | 2021-04-23 07:56:52
VP336201       | 2021-04-23 07:56:52
VP5136519       | 2021-04-23 07:56:53
VP335709VP336807       | 2021-04-23 07:56:53
VP333134       | 2021-04-23 07:56:54
VP336605       | 2021-04-23 07:56:56
VP331045       | 2021-04-23 07:56:56
VP333310       | 2021-04-23 07:56:57
VP336201       | 2021-04-23 07:56:57
VP335447       | 2021-04-23 07:56:58
VP333134       | 2021-04-23 07:56:59
VP5136519       | 2021-04-23 07:56:59
VP336605       | 2021-04-23 07:57:00
VP333310       | 2021-04-23 07:57:01
VP335447       | 2021-04-23 07:57:02
VP5136519       | 2021-04-23 07:57:03
VP331045       | 2021-04-23 07:57:05
VP336201       | 2021-04-23 07:57:07
VP333134       | 2021-04-23 07:57:08
VP331045       | 2021-04-23 07:57:08
VP336605       | 2021-04-23 07:57:09
VP336201       | 2021-04-23 07:57:10
VP333310       | 2021-04-23 07:57:10
VP333134       | 2021-04-23 07:57:11
VP335447       | 2021-04-23 07:57:11
VP336605       | 2021-04-23 07:57:12
VP5136519       | 2021-04-23 07:57:12
VP333310       | 2021-04-23 07:57:13
VP335447       | 2021-04-23 07:57:14
VP5136519       | 2021-04-23 07:57:15
VP331045       | 2021-04-23 07:57:18
VP336201       | 2021-04-23 07:57:19
VP333134       | 2021-04-23 07:57:20
VP336605       | 2021-04-23 07:57:21
VP333310       | 2021-04-23 07:57:22
VP335447       | 2021-04-23 07:57:24
